,bID,bstatus,bGPSx,bGPSy,barea,bpassword,busage,bproblem
0,101,1,55.85659716019473,-4.2183621284464765,A,1224,0,report
1,102,1,55.87774840665689,-4.1617676272006685,A,2345,0,repair
2,103,1,55.85357757287126,-4.253430297524147,A,2345,0,rerwerwe
3,104,1,55.86193617356958,-4.175721391305069,A,4567,0,
4,105,0,55.866236631769965,-4.2283858968554044,A,3687,0,
5,106,0,55.88215446183373,-4.186814544046895,A,9924,1,
6,107,0,55.88215446183373,-4.186814544046895,A,7579,0,
7,108,1,55.85635198680471,-4.224581014566563,A,5772,1,
8,109,0,55.857302083627516,-4.15319547524325,A,7277,1,
9,110,0,55.9261158733,-4.3089681093,B,6817,0,
10,157,0,55.8918036608,-4.0040041033,C,4768,1,
11,158,0,55.8886606977,-4.1188444249,C,4473,0,
12,159,0,55.8758797305,-4.0109976603,E,7289,0,
13,160,0,55.8437256087,-4.0727419583,E,4883,1,
14,161,0,55.8989834785,-4.1961088144,A,6742,0,
15,195,0,55.9323673004,-4.17890205,B,1802,1,
16,196,0,55.907016927,-4.15452643,C,7328,1,
17,197,0,55.8101830539,-4.2161010902,D,2872,0,
18,198,0,55.8854260684,-4.0378898586,C,2009,0,
19,199,0,55.8757190793,-4.1255871104,E,8334,1,
20,298,0,55.9060037173,-4.0170296424,C,9669,0,
21,299,1,55.944192538,-4.1213418066,C,6056,0,
22,300,0,55.8543737357,-4.0832090084,E,2355,0,
23,301,0,55.8289193167,-4.0398164156,E,4922,1,
24,302,0,55.8159266635,-4.2213252398,D,6331,1,
25,303,0,55.8771673357,-4.2018293854,A,9003,1,
26,304,0,55.8226351268,-4.0113726152,E,9931,1,
27,305,0,55.8660097086,-4.0186603976,E,8008,0,
28,306,0,55.9268219232,-4.2810314581,B,4789,0,
29,307,0,55.8896337638,-4.2202871833,A,3048,1,
30,308,0,55.9426857031,-4.0104710422,C,7463,1,
31,309,0,55.8701047231,-4.002398868,E,8609,0,
32,310,0,55.8912941588,-4.1602953308,A,6073,1,
33,311,0,55.893044296,-4.1847725494,A,8341,0,
34,312,0,55.9476838451,-4.2456689023,B,2539,0,
35,313,1,55.8515974937,-4.0303867334,E,9083,1,
36,314,0,55.8349039161,-4.1714785669,D,1024,1,
37,315,0,55.8544255867,-4.0461999328,E,5995,1,
38,316,0,55.9386712339,-4.20850197,B,6405,0,
39,317,0,55.9480647739,-4.2374694617,B,8741,0,
40,318,1,55.946760032,-4.005950046,C,7514,0,
41,319,0,55.8291702837,-4.0389995515,E,1083,1,
42,320,0,55.8719968394,-4.3082789106,D,5478,0,
43,321,0,55.8190409401,-4.1439002463,E,7390,0,
44,322,0,55.9002155528,-4.2091153628,B,1773,1,
45,323,0,55.9497361266,-4.1295682891,C,9771,0,
46,324,0,55.846169962,-4.2000331504,D,8769,1,
47,325,0,55.8934918593,-4.2203464694,A,9696,1,
48,326,0,55.9180098675,-4.0966477366,C,8110,0,
49,327,0,55.8862464045,-4.2425079284,A,3547,1,
50,328,0,55.826154782,-4.2252491693,D,1258,1,
51,329,0,55.8434380895,-4.0913331787,E,4680,0,
52,330,0,55.9048461303,-4.0836756483,C,3340,0,
53,331,1,55.9113123458,-4.2979334167,B,8474,0,
54,332,0,55.8775251603,-4.1755973419,A,1514,0,
55,333,0,55.8535115996,-4.2003580553,A,9729,1,
56,334,0,55.8264372556,-4.1235731243,E,8658,1,
57,335,0,55.8849122299,-4.2661217437,B,4161,0,
58,336,0,55.879565686,-4.1327166028,E,1374,1,
59,337,0,55.9472861266,-4.1996252358,B,4252,1,
60,338,0,55.8988897546,-4.0253463931,C,7819,0,
61,339,0,55.9072648107,-4.0008352167,C,6692,0,
62,340,0,55.9318707347,-4.2177591576,B,6170,0,
63,341,0,55.8875913756,-4.1814977263,A,1197,0,
64,342,0,55.9267068393,-4.0996935119,C,8198,1,
65,343,0,55.9414049129,-4.2099310816,B,3010,1,
66,344,0,55.835359338,-4.2799922604,D,9090,1,
67,345,0,55.9059609269,-4.1685602782,B,2230,1,
68,346,0,55.900459475,-4.1231135434,C,4418,1,
69,347,0,55.86310756,-4.0282891488,E,1662,0,
70,348,0,55.9021792767,-4.1406673894,C,3195,1,
71,349,0,55.8565795626,-4.2715288129,D,4905,1,
72,350,0,55.8356700444,-4.2127363827,D,7116,1,
73,351,0,55.9418872185,-4.1856825032,B,6244,0,
74,352,0,55.8252310085,-4.2498054354,D,9107,1,
75,353,0,55.9334277235,-4.0223315109,C,4718,1,
76,354,0,55.9355863225,-4.280061688,B,5837,0,
77,355,0,55.9114657826,-4.1113401021,C,5047,0,
78,356,0,55.8364634146,-4.2316660622,D,4969,0,
79,357,0,55.8140499749,-4.2563867031,D,7815,0,
80,358,0,55.865032703,-4.1969948589,A,3307,0,
81,359,0,55.8711977147,-4.0385349691,E,4820,1,
82,360,0,55.820522943,-4.2467158062,D,1707,0,
83,361,0,55.8964247875,-4.2995645931,B,8284,1,
84,362,0,55.8158177518,-4.1789880277,D,5367,0,
85,363,0,55.8500590928,-4.0141604066,E,4695,1,
86,364,0,55.9082182387,-4.2144223363,B,2124,1,
87,365,1,55.8962511261,-4.1113562581,C,7484,0,
88,366,0,55.8388469266,-4.1359659696,E,5482,1,
89,367,0,55.9193176946,-4.1686754146,B,3890,0,
90,368,0,55.9010859836,-4.2029672303,B,6709,1,
91,369,0,55.8168362785,-4.1948321489,D,2804,1,
92,370,0,55.9372884042,-4.2297194504,B,3934,0,
93,371,0,55.9464214508,-4.2047119418,B,4058,1,
94,372,0,55.9025625899,-4.1972488363,B,4778,0,
95,373,0,55.9429283894,-4.0772978875,C,3686,0,
96,374,0,55.9350873367,-4.1572163532,B,8088,1,
97,375,0,55.8858401496,-4.2351598384,A,2948,0,
98,376,0,55.8345782317,-4.2934537575,D,6459,0,
99,377,0,55.8167234618,-4.1980149221,D,7030,1,
100,378,0,55.855829899,-4.168768591,A,3807,1,
101,379,0,55.9034715875,-4.1220581894,C,1334,1,
102,380,0,55.9077930705,-4.1065427875,C,4865,1,
103,381,0,55.9389589931,-4.2389319052,B,5075,0,
104,382,0,55.9113498506,-4.1009787929,C,1800,0,
105,383,0,55.9122367644,-4.2636484912,B,2252,1,
106,384,0,55.8813183606,-4.2709793121,B,3964,1,
