,pID,ID,bID,starttime,endtime,duration,oribill,discount,startGPSx,startGPSy,endGPSx,endGPSy,pstatus
0,19,1001,261,2021-03-03 09:17:24,2021-03-03 09:18:55,0,0,0,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
1,20,1001,261,2021-03-03 09:20:40,2021-03-03 09:20:41,0,0,0,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
2,21,1001,261,2021-03-03 09:23:29,2021-03-03 09:23:38,0,0,0,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
3,22,1001,261,2021-03-03 09:28:34,2021-03-03 09:28:51,0,0,0,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
4,23,1001,261,2021-03-03 09:31:54,2021-03-03 09:31:54,0,0,0,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
5,24,1001,443,2021-03-03 09:34:14,2021-03-03 09:34:18,0.06666666666666667,0.0006666666666666666,0.0005333333333333334,55.896724581,-4.1459993651,55.9112990001,-4.1364264401,1
6,25,1001,443,2021-03-03 09:38:23,2021-03-03 09:38:29,0.1,0.001,0.0008,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,0
7,26,1001,443,2021-03-03 09:39:42,2021-03-03 09:39:45,0.05,0.0005,0.0004,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,1
8,27,1001,443,2021-03-03 11:07:46,2021-03-03 11:08:02,0.26666666666666666,0.0026666666666666666,0.0021333333333333334,55.9112990001,-4.1364264401,55.9112990001,-4.1364264401,1
9,2001,1001,102,1245,1315,30,6,4,55.8216656777,-4.0434924604,55.9458017947,-4.0835574589,0
10,2002,1002,104,2354,2354,20,7,3,55.8216656777,-4.0434924604,55.9458017947,-4.0194194346,0
11,2003,1105,598,2020-09-12 15:24:10,2020-09-12 15:29:10,5,0.04,0.03,55.8216656777,-4.1011539085,55.8441815477,-4.0835574589,1
